title,truth,pred
Politics and protocol leave Indian teen's life in the balance pending TB drug ruling | Amrit Dhillon,0,0
Neighbourhood mourns murder of five of family in Aizawl,0,0
Experts stress on recycling plastic rather than banning it,0,0
Day 2 as US President: Trump says love you CIA,1,0
Everton beat Crystal Palace 1-0 to keep Sam Allardyce waiting for win,0,0
Can We Guess Your Favourite Movie Of 2014?,1,1
"Ohio Governor Vetoes ""Heartbeat Bill",1,1
 These 23 Sarcastic People Are Taking The World By Storm. #4 Is Kind Of Brilliant ,1,1
 This Mercedes Is Covered In Millions Of Swarovski Crystals...And It's Absolutely Stunning,1,1
 7 Amazing Ways To Reuse Old Plastic Bottles. The Vertical Garden Is Everything,1,1
